Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0A250W8A7	A0A250W8A7	YSP2	YSP2	SCKG_0199	SCKG_0199			29467216:0114:LC
A0A250WL92	A0A250WL92	LAM4	LAM4	SCKG_4597	SCKG_4597			29463678:0114:LC
D6VTK4	D6VTK4	STE2	STE2			S000001868	S000001868	24682008:0090:LC|22923047:0055:LC|28073700:0090:LC|27993568:0055:LC|24122388:0090:LC|15352875:0055:LC
D6VTK4	P08539	STE2	GPA1			S000001868	S000001047	10664449:0018:LC|11287148:0018:LC
D6VTK4	P18851	STE2	STE4		YOR50-2	S000001868	S000005738	10664449:0018:LC|11287148:0018:LC
D6VTK4	P32435	STE2	MF(ALPHA)2			S000001868	S000003057	11495900:0401:LC|2839507:0030:LC|2839507:0405:LC
E9P8D2	E9P8D2	MPR1	MPR1					23818613:0114:LC
O13297	O13297	CET1	CET1	P1433	P1433	S000006149	S000006149	10428848:0029:LC|20159466:0114:LC|10589681:0114:LC|20828586:0090:LC
O13297	P04050	CET1	RPO21	P1433	D2150	S000006149	S000002299	9832501:0019:LC|9407025:0004:LC|9832501:0096:LC|9407025:0019:LC|9407025:0096:LC
O13297	Q01159	CET1	CEG1	P1433	G2853	S000006149	S000003098	9832501:0004:LC|9345280:0047:LC|12419231:0006:LC|10428848:0029:LC|20159466:0071:LC|9345280:0004:LC|20159466:0096:LC|20159466:0114:LC|9832501:0019:LC|9755857:0018:LC|12419231:0004:LC|11094081:0018:LC|12419231:0091:LC|11805826:0004:LC|11805826:0676:LC|12419231:0401:LC|11805826:0007:LC
O13329	O13329	FOB1	FOB1	YD9727.06	YD9727.06	S000002517	S000002517	26063576:0018:LC|26951198:0018:LC|14576157:0018:LC
O13329	P06700	FOB1	SIR2	YD9727.06	D2714	S000002517	S000002200	17043313:0007:LC|20179323:0018:LC|26951198:0018:LC
O13329	P17123	FOB1	SPO12	YD9727.06		S000002517	S000001195	15043811:0004:LC|15043811:0018:LC
O13329	P47035	FOB1	NET1	YD9727.06	J1038	S000002517	S000003612	17043313:0676:LC|26951198:0096:LC|17043313:0004:LC|17043313:0007:LC|20179323:0018:LC|26951198:0018:LC
O13329	Q02208	FOB1	TOF2	YD9727.06	YK109	S000002517	S000001718	17043313:0004:LC|26951198:0018:LC|17043313:0007:LC|17043313:0676:LC
O13329	Q12457	FOB1	NSI1	YD9727.06	PZE570	S000002517	S000002433	14576157:0018:LC|26951198:0018:LC
O13525	P27680	COQ4	COQ3	YD8142.01	HRF316	S000002612	S000005456	15792955:0004:LC|17391640:0276:LC|15792955:0401:LC
O13525	Q05779	COQ4	COQ9	YD8142.01		S000002612	S000004191	17391640:0004:LC|17391640:0007:LC|24406904:0401:LC
O13530	P39534	O13530	MBB1		J0334	S000004188	S000003735	10655498:0018:LC
O13539	P53552	THP2	THO2		N1209|N1835	S000001210	S000005083	11979277:0676:LC|22314234:0114:LC|11979277:0004:LC|11979277:0401:LC
O13549	P47821	VPS63	SSN8		N2805	S000004251	S000004970	10655498:0018:LC
O13553	P53910	O13553	P53910		N1830	S000004309	S000005084	10655498:0018:LC
O13554	P47821	VPS65	SSN8		N2805	S000004314	S000004970	10655498:0018:LC
O13563	P38348	RPN13	HSM3		YBR1740	S000004413	S000000476	19446323:0007:LC|19446322:0007:LC|19446322:0004:LC|24013205:0071:LC
O13563	P38886	RPN13	RPN10			S000004413	S000001243	11029046:0004:LC|11029046:0019:LC|24429290:0401:LC
O13563	P53196	RPN13	RPN14			S000004413	S000002972	19446323:0007:LC|11805837:0004:LC|11805837:0007:LC
O13565	P34166	O13565	MFA2		N1204|N1787	S000004350	S000005089	10655498:0018:LC
O13565	P47821	O13565	SSN8		N2805	S000004350	S000004970	10655498:0018:LC
O14455	P39743	RPL36B	RVS167	YPL249BC	D9509.8	S000006438	S000002796	10992286:0018:LC
O60200	P35200	MDM35	UPS2		L9470.15	S000007243	S000004158	20622808:0401:LC|20622808:0096:LC|20657548:0004:LC|20622808:0007:LC|20657548:0676:LC|20622808:0004:LC|20657548:0007:LC
O60200	Q05776	MDM35	UPS1			S000007243	S000004183	26235513:0096:LC|20622808:0401:LC|20657548:0004:LC|20622808:0096:LC|23042293:0401:LC|26235513:0114:LC|20657548:0676:LC|20622808:0007:LC|26071601:0114:LC|20622808:0004:LC|26071601:0401:LC|PDB_5JQO:0114:LC|20657548:0007:LC
O74700	O74700	TIM9	TIM9	YEL020BW	YEL020BW	S000007256	S000007256	18022191:0401:LC|12138093:0401:LC
O74700	P18239	TIM9	PET9	YEL020BW	YBL0421	S000007256	S000000126	11509656:0030:LC|9822593:0030:LC
O74700	P36046	TIM9	MIA40	YEL020BW		S000007256	S000001678	20026652:0401:LC|17978092:0401:LC|22990235:0030:LC
O74700	P87108	TIM9	TIM10	YEL020BW	YHR005BC	S000007256	S000003530	11867522:0401:LC|11867522:0004:LC|12882976:0401:LC|9822593:0029:LC|9822593:0004:LC|11483513:0096:LC|18022191:0401:LC|16039669:0401:LC|11483513:0071:LC|9822593:0401:LC|18421298:0401:LC|9822593:0404:LC|11483513:0006:LC|11483513:0276:LC|17978092:0401:LC|9822593:0019:LC|19037098:0114:LC|18022191:0096:LC
O94742	P38348	SEM1	HSM3		YBR1740	S000007235	S000000476	19446323:0007:LC|19446322:0007:LC
O94742	P46674	SEM1	SAC3		YD8358.13	S000007235	S000002566	22343721:0071:LC|22343721:0114:LC|22343721:0676:LC|23643786:0114:LC|27422657:0401:LC|22343721:0096:LC
O94742	Q08231	SEM1	THP1		O1140	S000007235	S000005433	23643786:0114:LC|27422657:0114:LC|28334829:0114:LC
O94742	Q12250	SEM1	RPN5		D1572	S000007235	S000002306	26451487:0401:LC|19446322:0007:LC|19446322:0004:LC
P00044	P00044	CYC1	CYC1	J1653	J1653	S000003809	S000003809	26038984:0114:LC|24760830:0114:LC|16227441:0114:LC|PDB_4N0K:0114:LC|PDB_4YE1:0114:LC|16893189:0401:LC|27499202:0114:LC|29125201:0114:LC|15071191:0114:LC|22717436:0114:LC|PDB_4QAO:0114:LC|28407337:0114:LC|27990813:0114:LC
P00044	P00431	CYC1	CCP1	J1653		S000003809	S000001774	PDB_4P4Q:0114:LC|17128976:0114:LC|15339156:0114:LC|17146057:0077:LC|16227441:0114:LC|16478190:0114:LC|2820983:0114:LC|16893189:0401:LC|24726731:0077:LC|27499202:0114:LC|25944250:0114:LC|15071191:0114:LC|11900539:0114:LC|11900539:0096:LC|20672804:0114:LC|1334573:0114:LC|2166169:0114:LC
P00044	P07143	CYC1	CYT1	J1653	YOR29-16	S000003809	S000005591	11880631:0114:LC|12206886:0114:LC
P00044	P27882	CYC1	ERV1	J1653		S000003809	S000003261	17972915:0096:LC|20188670:0415:LC|17972915:0004:LC|17972915:0415:LC
P00127	P07143	QCR6	CYT1		YOR29-16	S000001929	S000005591	10873857:0114:LC|11880631:0114:LC|12782631:0114:LC
P00127	P08525	QCR6	QCR8		J0526	S000001929	S000003702	10873857:0114:LC|11880631:0114:LC|12782631:0114:LC
P00128	P00163	QCR7	COB	D9719.32		S000002937	S000007270	10873857:0114:LC|11880631:0114:LC|23007649:0401:LC|12782631:0114:LC
P00128	P07143	QCR7	CYT1	D9719.32	YOR29-16	S000002937	S000005591	10873857:0114:LC|11880631:0114:LC|12782631:0114:LC
P00128	P08525	QCR7	QCR8	D9719.32	J0526	S000002937	S000003702	10873857:0114:LC|11880631:0114:LC|12782631:0114:LC
P00128	P53168	QCR7	DUO1	D9719.32		S000002937	S000003029	10655498:0018:LC
P00163	P07143	COB	CYT1		YOR29-16	S000007270	S000005591	10873857:0114:LC|11880631:0114:LC|12782631:0114:LC
