Item	Source	FieldID	ObjID	Area	EqDiameter
1	1n.tif	1	1	63.35	8.98
2	1n.tif	1	2	77.34	9.92
3	1n.tif	1	3	56.32	8.47
4	1n.tif	1	4	62.29	8.91
5	1n.tif	1	5	51.28	8.08
6	1n.tif	1	6	40.61	7.19
7	1n.tif	1	7	67.15	9.25
8	1n.tif	1	8	47.72	7.79
10	1n.tif	1	10	51.6	8.11
11	1n.tif	1	11	62.19	8.9
12	1n.tif	1	12	60.05	8.74
13	1n.tif	1	13	50.3	8
14	1n.tif	1	14	68.47	9.34
15	1n.tif	1	15	51.36	8.09
16	1n.tif	1	16	64.04	9.03
17	1n.tif	1	17	55.43	8.4
18	1n.tif	1	18	68.08	9.31
19	1n.tif	1	19	77.79	9.95
20	1n.tif	1	20	76.63	9.88
21	1n.tif	1	21	71.14	9.52
23	1n.tif	1	23	46.05	7.66
24	1n.tif	1	24	67.86	9.3
25	1n.tif	1	25	46.42	7.69
26	1n.tif	1	26	50.44	8.01
27	1n.tif	1	27	45.45	7.61
28	1n.tif	1	28	57.62	8.57
29	1n.tif	1	29	51.97	8.13
30	1n.tif	1	30	76.58	9.87
32	1n.tif	1	32	58.83	8.65
33	1n.tif	1	33	64.22	9.04
34	1n.tif	1	34	50.83	8.04
35	1n.tif	1	35	61.71	8.86
36	1n.tif	1	36	52.02	8.14
37	1n.tif	1	37	61.74	8.87
38	1n.tif	1	38	67.34	9.26
39	1n.tif	1	39	65.2	9.11
40	1n.tif	1	40	49.96	7.98
41	1n.tif	1	41	49.88	7.97
42	1n.tif	1	42	43.91	7.48
43	1n.tif	1	43	67.68	9.28
44	1n.tif	1	44	76.02	9.84
45	1n.tif	1	45	48.69	7.87
47	1n.tif	1	47	52.81	8.2
48	1n.tif	1	48	52.52	8.18
49	1n.tif	1	49	78.22	9.98
50	1n.tif	1	50	58.09	8.6
51	1n.tif	1	51	63.9	9.02
52	1n.tif	1	52	55.98	8.44
53	1n.tif	1	53	65.73	9.15
54	1n.tif	1	54	56.27	8.46
55	1n.tif	1	55	43.62	7.45
56	1n.tif	1	56	77.37	9.93
1	1n_2.tif	1	1	52.28	8.16
2	1n_2.tif	1	2	52.57	8.18
3	1n_2.tif	1	3	56.8	8.5
4	1n_2.tif	1	4	54.13	8.3
5	1n_2.tif	1	6	68.87	9.36
6	1n_2.tif	1	7	66.65	9.21
7	1n_2.tif	1	8	41.77	7.29
8	1n_2.tif	1	9	62.19	8.9
9	1n_2.tif	1	10	55.72	8.42
10	1n_2.tif	1	11	57.09	8.53
11	1n_2.tif	1	12	54.03	8.29
12	1n_2.tif	1	13	54.93	8.36
13	1n_2.tif	1	14	58.17	8.61
14	1n_2.tif	1	15	54.87	8.36
15	1n_2.tif	1	16	68.42	9.33
16	1n_2.tif	1	17	53.02	8.22
17	1n_2.tif	1	18	55.53	8.41
18	1n_2.tif	1	19	59.55	8.71
19	1n_2.tif	1	21	61.39	8.84
20	1n_2.tif	1	22	59.52	8.71
21	1n_2.tif	1	24	67.49	9.27
22	1n_2.tif	1	25	53.95	8.29
23	1n_2.tif	1	26	49.91	7.97
24	1n_2.tif	1	28	62.82	8.94
25	1n_2.tif	1	29	68.6	9.35
26	1n_2.tif	1	30	45.66	7.62
27	1n_2.tif	1	31	49.01	7.9
28	1n_2.tif	1	33	56.64	8.49
29	1n_2.tif	1	35	49.46	7.94
30	1n_2.tif	1	36	53.29	8.24
31	1n_2.tif	1	37	53.1	8.22
32	1n_2.tif	1	38	76.82	9.89
33	1n_2.tif	1	39	52.44	8.17
34	1n_2.tif	1	40	52.34	8.16
35	1n_2.tif	1	41	57.38	8.55
36	1n_2.tif	1	42	49.78	7.96
37	1n_2.tif	1	43	54.82	8.35
38	1n_2.tif	1	44	52.26	8.16
39	1n_2.tif	1	45	71.32	9.53
40	1n_2.tif	1	46	48.53	7.86
41	1n_2.tif	1	47	71.72	9.56
42	1n_2.tif	1	48	70.58	9.48
43	1n_2.tif	1	49	65.57	9.14
44	1n_2.tif	1	50	41.25	7.25
45	1n_2.tif	1	51	57.88	8.58
46	1n_2.tif	1	52	52.18	8.15
47	1n_2.tif	1	53	53.84	8.28
48	1n_2.tif	1	54	49.43	7.93
49	1n_2.tif	1	55	51.39	8.09
50	1n_2.tif	1	56	59.97	8.74
51	1n_2.tif	1	57	52.15	8.15
52	1n_2.tif	1	58	46.61	7.7
53	1n_2.tif	1	59	50.94	8.05
