Item	Source	FieldID	ObjID	Area	EqDiameter	
1.	B9_1.tif	1	1	71.80	9.56	
2.	B9_1.tif	1	2	88.51	10.62	
3.	B9_1.tif	1	3	128.60	12.80	
4.	B9_1.tif	1	4	64.72	9.08	
5.	B9_1.tif	1	5	95.41	11.02	
6.	B9_1.tif	1	6	76.05	9.84	
7.	B9_1.tif	1	7	51.31	8.08		
1.	B9_2.tif	1	1	62.32	8.91	
2.	B9_2.tif	1	2	95.96	11.05	
3.	B9_2.tif	1	3	105.10	11.57	
4.	B9_2.tif	1	4	80.99	10.15	
5.	B9_2.tif	1	5	34.01	6.58	
6.	B9_2.tif	1	6	145.34	13.60	
7.	B9_2.tif	1	7	81.17	10.17	
8.	B9_2.tif	1	8	96.28	11.07	
9.	B9_2.tif	1	9	54.63	8.34	
10.	B9_2.tif	1	10	75.76	9.82	
11.	B9_2.tif	1	11	66.41	9.20	


