Item	Source	FieldID	ObjID	Area	EqDiameter	
1.	C1_2.tif	1	1	68.26	9.32	
2.	C1_2.tif	1	2	59.63	8.71	
3.	C1_2.tif	1	3	115.29	12.12	
4.	C1_2.tif	1	4	99.23	11.24	
5.	C1_2.tif	1	5	64.70	9.08	
6.	C1_2.tif	1	6	105.55	11.59	
7.	C1_2.tif	1	7	83.18	10.29	
8.	C1_2.tif	1	8	92.98	10.88	
9.	C1_2.tif	1	9	124.93	12.61	
10.	C1_2.tif	1	10	93.21	10.89	
11.	C1_2.tif	1	11	118.06	12.26	
12.	C1_2.tif	1	12	58.81	8.65	
13.	C1_2.tif	1	13	78.48	10.00	
14.	C1_2.tif	1	14	62.82	8.94	
15.	C1_2.tif	1	15	64.99	9.10		
1.	C1_1.tif	1	1	68.26	9.32	
2.	C1_1.tif	1	2	99.18	11.24	
3.	C1_1.tif	1	3	60.58	8.78	
4.	C1_1.tif	1	4	71.38	9.53	
5.	C1_1.tif	1	5	96.62	11.09	
6.	C1_1.tif	1	6	22.18	5.31	
7.	C1_1.tif	1	7	0.05	0.26	
8.	C1_1.tif	1	8	75.18	9.78	
9.	C1_1.tif	1	9	117.46	12.23	
10.	C1_1.tif	1	10	82.94	10.28	
11.	C1_1.tif	1	11	70.29	9.46	
12.	C1_1.tif	1	12	72.80	9.63	
13.	C1_1.tif	1	13	82.65	10.26	
14.	C1_1.tif	1	14	68.39	9.33	
15.	C1_1.tif	1	15	71.19	9.52	




