	ploidy	avg size
A1.fcs	1.027027027	10.29853659
A2.fcs	1.135135135	10.85764706
A3.fcs	1.108108108	10.07
A4.fcs	1.324324324	10.65
A5.fcs	1.351351351	12.57
A6.fcs	1.756756757	13.47
A7.fcs	1.135135135	9.87
A8.fcs	1.189189189	10.55
A9.fcs	1.054054054	9.11
A10.fcs	1.162162162	11.09
A11.fcs	1.837837838	11.95
A12.fcs	1.108108108	10.51
B1.fcs	1.243243243	11.6
B2.fcs	1.243243243	10.17
B3.fcs	1.081081081	9.68
B4.fcs	1.054054054	10.47
B5.fcs	1.189189189	11.02
B6.fcs	1.027027027	10.81
B7.fcs	1.054054054	10.68
B8.fcs	1.297297297	11.19
B9.fcs	1.297297297	10.08
B10.fcs	1.054054054	12.22
B11.fcs	1.27027027	12.11
B12.fcs	1.567567568	14.21
C1.fcs	1.216216216	9.72
C2.fcs	1.108108108	9.59
C3.fcs	1.27027027	13.33
C4.fcs	1.351351351	13.19
C5.fcs	1.297297297	10.12
C6.fcs	1.891891892	13.43
1N.fcs	1	8.47
2N.fcs	2	10.89
